pnr,order_id,ticket_number,member_id,passenger,flight_number,origin,destination,departure_utc,arrival_utc,cabin,fare_class,pnr_status,ancillaries,channel,pss_source
FQBTCM,ORD-694TM37F,795-7313646580,VA7002329,Charlie Khan,VA1237,HKG,LAX,2026-06-14T12:30:00Z,2026-06-15T00:30:32Z,Economy,Y,HK,Seat selection; Extra legroom,virginaustralia.com,SabreSonic
FWSWH1,ORD-8A52DN9Z,795-1221670908,VA7000822,Ethan O'Brien,VA1127,OOL,MCY,2026-06-27T20:30:00Z,2026-06-28T01:08:32Z,Economy,Y,HK,Extra legroom,virginaustralia.com,SabreSonic
FQH5HK,ORD-7U8T266R,795-5916199809,VA7002466,George O'Brien,VA29,AKL,HKG,2026-07-02T18:05:00Z,2026-07-03T02:54:50Z,Economy,Y,HK,Carbon offset,App,SabreSonic
7K46YX,ORD-05WNR0Q2,795-5482431018,VA7006439,Lachlan Costa,VA6,ADL,BNE,2026-06-25T21:45:00Z,2026-06-25T23:52:44Z,Economy,Y,HK,Seat selection,Amadeus GDS,SabreSonic
4G95AK,ORD-2KE6SX1F,795-8953271391,VA7003288,Ethan Brooks,VA1209,DPS,HND,2026-06-27T12:05:00Z,2026-06-27T22:21:01Z,Business,J,HK,Wifi pass; Checked bag 23kg,Sabre GDS,SabreSonic
QF3GG4,ORD-LVBCWDUY,795-6904897514,VA7003288,Ethan Brooks,VA141,TSV,HND,2026-07-07T02:45:00Z,2026-07-07T09:31:09Z,Economy,Y,HK,Priority boarding; Seat selection,App,SabreSonic
5S5SA5,ORD-ULE4YV3S,795-2297602688,VA7004932,Matilda Wright,VA1020,HND,OOL,2026-06-14T23:45:00Z,2026-06-15T11:22:24Z,Economy,Y,RR,Lounge pass; Priority boarding,Sabre GDS,SabreSonic
AD7UQY,ORD-QNSJGCV4,795-9733234156,VA7000822,Ethan O'Brien,VA1700,HBA,NAN,2026-06-30T20:10:00Z,2026-07-01T02:49:52Z,Economy,Y,HK,Carbon offset; Seat selection,virginaustralia.com,SabreSonic
6UXH5E,ORD-KQ1ZF1AS,795-3304560537,VA7002466,George O'Brien,VA559,TSV,AKL,2026-06-16T22:45:00Z,2026-06-17T09:00:48Z,Economy,Y,HK,Lounge pass; Seat selection,Amadeus GDS,SabreSonic
QE5V2H,ORD-JCCV7HGR,795-5877639950,VA7005891,Jack Walsh,VA966,CBR,APW,2026-07-02T22:00:00Z,2026-07-03T09:33:40Z,Economy,Y,HK,Extra legroom; Wifi pass,Amadeus GDS,SabreSonic
TCZP44,ORD-RZGZYD1T,795-2952996248,VA7006439,Lachlan Costa,VA1708,DOH,NAN,2026-07-05T15:30:00Z,2026-07-06T02:54:42Z,Economy,Y,HK,Carbon offset,App,SabreSonic
PQXKAT,ORD-KJSMHBJA,795-4386287675,VA7005206,Archie Okafor,VA1700,SYD,BNE,2026-06-19T15:45:00Z,2026-06-19T17:35:38Z,Economy,Y,HK,Priority boarding,virginaustralia.com,SabreSonic
48QC9V,ORD-5BD613G7,795-2905085701,VA7002192,Florence Brooks,VA1594,MEL,OOL,2026-06-28T14:00:00Z,2026-06-28T17:05:26Z,Economy,Y,HK,Wifi pass; Checked bag 23kg,virginaustralia.com,SabreSonic
83GHP3,ORD-4Q2X512G,795-6637352245,VA7001233,Thomas Chen,VA1087,BNE,OOL,2026-07-02T21:30:00Z,2026-07-03T02:58:31Z,Economy,Y,HK,Seat selection,virginaustralia.com,SabreSonic
DXH2Y3,ORD-DUVYG8PK,795-8115628227,VA7001233,Thomas Chen,VA1514,HND,SIN,2026-06-14T13:30:00Z,2026-06-14T20:43:27Z,Economy,Y,HK,Wifi pass; Lounge pass,virginaustralia.com,SabreSonic
TBMTVX,ORD-YAMK1EKB,795-9984030846,VA7004795,Florence Nguyen,VA1996,MCY,PER,2026-06-30T18:30:00Z,2026-06-30T23:17:15Z,Economy,Y,HK,Extra legroom,virginaustralia.com,SabreSonic
LDFT43,ORD-742TP8HY,795-2846465000,VA7003973,Jack Lim,VA1810,TSV,OOL,2026-07-05T21:45:00Z,2026-07-06T01:23:33Z,Economy,Y,HK,Extra legroom; Lounge pass,Amadeus GDS,SabreSonic
SUWHA7,ORD-3MJ0Q8YE,795-4187043237,VA7004247,Matilda Brooks,VA1937,HKG,DRW,2026-06-24T12:00:00Z,2026-06-24T20:01:59Z,Economy,Y,HK,Priority boarding; Lounge pass,App,SabreSonic
5ZF3GR,ORD-319F1VXQ,795-1722124509,VA7000548,Mia Haddad,VA43,TSV,APW,2026-06-25T00:10:00Z,2026-06-25T07:31:49Z,Economy,Y,HK,Wifi pass; Lounge pass,virginaustralia.com,SabreSonic
KEM754,ORD-WWK4E64V,795-8715177240,VA7004384,Charlie Ferraro,VA525,CNS,DPS,2026-07-02T15:05:00Z,2026-07-02T22:21:15Z,Economy,Y,HK,Priority boarding; Lounge pass,virginaustralia.com,SabreSonic
5C4NW6,ORD-8KD4GXF8,795-3775094726,VA7000548,Mia Haddad,VA1770,DRW,SIN,2026-06-13T22:10:00Z,2026-06-14T05:14:31Z,Economy,Y,HK,Checked bag 23kg; Carbon offset,Amadeus GDS,SabreSonic
XEXG0U,ORD-SKXFKYV1,795-5658832688,VA7003836,James Wright,VA1587,HKG,DOH,2026-06-23T22:10:00Z,2026-06-24T07:34:20Z,Economy,Y,HK,Wifi pass; Extra legroom,App,SabreSonic
PX7NQJ,ORD-KEUG89CX,795-3654424954,VA7002877,Sophie Okafor,VA743,ADL,DOH,2026-07-04T00:45:00Z,2026-07-04T09:57:49Z,Economy,Y,HK,Seat selection; Lounge pass,virginaustralia.com,SabreSonic
4QRV6N,ORD-Z45U0892,795-5150090143,VA7001507,Sophie Brooks,VA487,APW,OOL,2026-06-14T00:10:00Z,2026-06-14T11:44:21Z,Economy,Y,HK,Seat selection,Sabre GDS,SabreSonic
T48K3F,ORD-Q4YB2D18,795-2606152369,VA7001096,Ruby Chen,VA584,CBR,MEL,2026-06-23T14:45:00Z,2026-06-23T19:33:55Z,Economy,Y,HK,Checked bag 23kg; Lounge pass,virginaustralia.com,SabreSonic
64AFBS,ORD-PK93HURV,795-1523334661,VA7001918,Archie Singh,VA588,SYD,MCY,2026-07-04T21:05:00Z,2026-07-04T22:36:58Z,Premium,W,HK,Lounge pass,App,SabreSonic
3AYR2M,ORD-F9ZE988B,795-3019214800,VA7005343,Charlie Chen,VA1472,AKL,BNE,2026-06-27T11:45:00Z,2026-06-27T22:33:46Z,Economy,Y,HK,Lounge pass; Seat selection,Travel agent (NDC),SabreSonic
CYXM56,ORD-MJE5CUNC,795-4397788197,VA7002192,Florence Brooks,VA1506,SYD,DPS,2026-06-23T18:00:00Z,2026-06-24T06:17:10Z,Economy,Y,HK,Wifi pass; Lounge pass,virginaustralia.com,SabreSonic
YDXTHZ,ORD-3140XM77,795-9944748312,VA7002603,Jack Brooks,VA1325,HKG,DPS,2026-06-30T02:10:00Z,2026-06-30T08:56:28Z,Business,J,HK,Priority boarding; Seat selection,App,SabreSonic
4Y4CY3,ORD-TDE1Z8LB,795-8650676663,VA7001507,Sophie Brooks,VA1235,DOH,DRW,2026-06-14T21:10:00Z,2026-06-15T05:57:55Z,Economy,Y,HK,Carbon offset; Lounge pass,virginaustralia.com,SabreSonic
4EJ9Z1,ORD-WTRHBM79,795-3412365931,VA7006713,Sophie Khan,VA922,VLI,MCY,2026-06-30T12:45:00Z,2026-06-30T20:24:02Z,Economy,Y,HK,Wifi pass,virginaustralia.com,SabreSonic
4FWYEU,ORD-VLMZ8QHN,795-4401896171,VA7003836,James Wright,VA152,CNS,VLI,2026-06-27T17:00:00Z,2026-06-28T00:31:04Z,Economy,Y,HK,Lounge pass,App,SabreSonic
6922EJ,ORD-WE459YJM,795-5849159641,VA7003151,Ruby Ferraro,VA135,DOH,APW,2026-06-29T15:45:00Z,2026-06-30T04:52:54Z,Economy,Y,HK,Seat selection; Carbon offset,Sabre GDS,SabreSonic
FSNTJV,ORD-F8LKLXCB,795-1348849508,VA7000959,William Nguyen,VA1927,HKG,ADL,2026-06-17T21:05:00Z,2026-06-18T06:10:42Z,Economy,Y,TK,Seat selection,Sabre GDS,SabreSonic
6R1V5E,ORD-DL4265PX,795-3605585995,VA7002192,Florence Brooks,VA1118,VLI,CNS,2026-06-25T11:30:00Z,2026-06-26T00:40:02Z,Economy,Y,HK,Seat selection,Amadeus GDS,SabreSonic
T4RKGD,ORD-U02RLWWN,795-4277581356,VA7006302,Evie Tanaka,VA496,MCY,NAN,2026-06-24T03:45:00Z,2026-06-24T11:02:46Z,Economy,Y,HK,Checked bag 23kg,App,SabreSonic
DU76UA,ORD-G3JSZ1ZC,795-2720484983,VA7004247,Matilda Brooks,VA441,DRW,HKG,2026-06-25T03:30:00Z,2026-06-25T17:15:00Z,Economy,Y,HK,Wifi pass; Extra legroom,virginaustralia.com,SabreSonic
1ZXZKN,ORD-818CCCJX,795-8747974356,VA7004795,Florence Nguyen,VA244,DRW,BNE,2026-06-26T19:45:00Z,2026-06-26T23:46:47Z,Economy,Y,HK,Lounge pass; Checked bag 23kg,virginaustralia.com,SabreSonic
887V6B,ORD-ZXH2VB6S,795-3480920839,VA7004384,Charlie Ferraro,VA1515,ADL,MCY,2026-06-22T16:30:00Z,2026-06-22T21:57:24Z,Premium,W,HK,Seat selection; Wifi pass,App,SabreSonic
NB4W2K,ORD-2P286DJ9,795-8139209752,VA7001370,Isla Walsh,VA497,HKG,HND,2026-07-06T23:05:00Z,2026-07-07T11:44:44Z,Economy,Y,HK,Extra legroom; Checked bag 23kg,virginaustralia.com,SabreSonic
VQVUP7,ORD-W6YTUH01,795-8809871735,VA7001507,Sophie Brooks,VA1961,AKL,LAX,2026-06-23T19:45:00Z,2026-06-24T05:52:52Z,Economy,Y,RR,Priority boarding; Seat selection,Sabre GDS,SabreSonic
NTTJGR,ORD-RD9QQDG2,795-3028959334,VA7002466,George O'Brien,VA1531,MEL,TSV,2026-06-14T22:30:00Z,2026-06-15T02:25:02Z,Premium,W,HK,Priority boarding,virginaustralia.com,SabreSonic
DFQCM2,ORD-MC17MUCA,795-3588933132,VA7004795,Florence Nguyen,VA589,OOL,AKL,2026-06-28T02:05:00Z,2026-06-28T14:15:09Z,Economy,Y,TK,Wifi pass; Seat selection,virginaustralia.com,SabreSonic
L5SMAX,ORD-UNM138WF,795-1409675904,VA7003973,Jack Lim,VA1657,VLI,DOH,2026-06-17T03:30:00Z,2026-06-17T12:02:46Z,Economy,Y,RR,Checked bag 23kg; Wifi pass,App,SabreSonic
ZRDH5V,ORD-L18VHUZQ,795-5868640848,VA7002055,Zoe Wright,VA1481,SYD,DRW,2026-06-26T19:10:00Z,2026-06-26T21:27:20Z,Economy,Y,HK,Extra legroom; Seat selection,Amadeus GDS,SabreSonic
9ZEHD8,ORD-NKLW94HP,795-3099500153,VA7005206,Archie Okafor,VA1221,MCY,AKL,2026-06-27T17:05:00Z,2026-06-28T04:41:09Z,Economy,Y,HK,Checked bag 23kg,App,SabreSonic
1SAPEC,ORD-3YEDE6CU,795-2756070122,VA7000411,James Patel,VA1653,AKL,ADL,2026-06-26T12:45:00Z,2026-06-26T22:43:04Z,Economy,Y,HK,Seat selection; Extra legroom,Amadeus GDS,SabreSonic
YHM19J,ORD-QABV530Q,795-6358023411,VA7006302,Evie Tanaka,VA1399,VLI,NAN,2026-06-25T01:30:00Z,2026-06-25T10:49:02Z,Economy,Y,HK,Lounge pass,virginaustralia.com,SabreSonic
DRC14Q,ORD-PDJ8UQWW,795-6312462377,VA7006302,Evie Tanaka,VA207,PER,MEL,2026-06-25T11:05:00Z,2026-06-25T12:55:52Z,Economy,Y,HK,Extra legroom,Travel agent (NDC),SabreSonic
9W22KV,ORD-0M6RQVK5,795-4928783441,VA7004521,Lachlan Rossi,VA97,HBA,AKL,2026-06-13T16:30:00Z,2026-06-14T03:10:07Z,Economy,Y,HK,Wifi pass; Carbon offset,Travel agent (NDC),SabreSonic
FNDT0C,ORD-ENP6PXVA,795-4184611760,VA7004795,Florence Nguyen,VA1889,HKG,ADL,2026-06-20T17:10:00Z,2026-06-21T04:31:01Z,Economy,Y,HK,Wifi pass,Amadeus GDS,SabreSonic
SZ875G,ORD-6WPZW2CQ,795-4183654731,VA7002055,Zoe Wright,VA1093,APW,CNS,2026-06-19T21:10:00Z,2026-06-20T06:31:17Z,Economy,Y,HK,Wifi pass; Seat selection,App,SabreSonic
XS775L,ORD-YLJ7MD9C,795-5322385617,VA7005069,Audrey Okafor,VA1707,LAX,NAN,2026-06-18T21:05:00Z,2026-06-19T06:25:55Z,Economy,Y,HK,Priority boarding,App,SabreSonic
BA2AB9,ORD-TUB83MGG,795-3252218154,VA7000548,Mia Haddad,VA1366,ADL,SYD,2026-06-26T22:00:00Z,2026-06-27T01:44:31Z,Economy,Y,HK,,App,SabreSonic
FCF100,ORD-6DALF73X,795-1182758417,VA7002192,Florence Brooks,VA499,MCY,CBR,2026-06-14T22:30:00Z,2026-06-15T01:30:41Z,Economy,Y,HK,Priority boarding; Seat selection,Sabre GDS,SabreSonic
BPK1EV,ORD-LR0X0JF8,795-2485455239,VA7004932,Matilda Wright,VA68,SIN,CBR,2026-06-14T19:45:00Z,2026-06-15T06:28:34Z,Economy,Y,HK,Lounge pass; Wifi pass,virginaustralia.com,SabreSonic
QY03M0,ORD-FUREFTK0,795-3722583581,VA7000548,Mia Haddad,VA560,TSV,VLI,2026-07-01T23:10:00Z,2026-07-02T05:53:19Z,Economy,Y,HK,,virginaustralia.com,SabreSonic
482GBF,ORD-YFW0AU20,795-4346505855,VA7000822,Ethan O'Brien,VA179,BNE,SYD,2026-06-26T22:10:00Z,2026-06-26T23:32:12Z,Premium,W,HK,Lounge pass; Carbon offset,App,SabreSonic
EL3T2V,ORD-6EZSR7N5,795-1459442845,VA7002055,Zoe Wright,VA550,LAX,HKG,2026-06-24T16:05:00Z,2026-06-25T00:36:00Z,Economy,Y,HK,Lounge pass,Travel agent (NDC),SabreSonic
WN6WM1,ORD-WU7RW0T1,795-2567729816,VA7002877,Sophie Okafor,VA1687,APW,DPS,2026-06-23T01:10:00Z,2026-06-23T10:53:46Z,Economy,Y,TK,Lounge pass; Seat selection,virginaustralia.com,SabreSonic
7JVRSK,ORD-30E46182,795-3334938378,VA7004658,Ethan Wright,VA597,OOL,LAX,2026-07-06T01:05:00Z,2026-07-06T10:52:18Z,Economy,Y,HK,Checked bag 23kg; Carbon offset,virginaustralia.com,SabreSonic
X3GAGS,ORD-Q89Q4Z15,795-3149484176,VA7004658,Ethan Wright,VA1255,APW,HND,2026-06-15T18:10:00Z,2026-06-16T01:54:51Z,Premium,W,HK,Extra legroom; Carbon offset,virginaustralia.com,SabreSonic
96Y6G4,ORD-4WEVCHBX,795-3783009621,VA7000822,Ethan O'Brien,VA703,DRW,AKL,2026-06-14T14:05:00Z,2026-06-14T23:11:44Z,Premium,W,HK,Priority boarding,virginaustralia.com,SabreSonic
MM31BN,ORD-430APPTE,795-3479690385,VA7006439,Lachlan Costa,VA947,HBA,DOH,2026-06-17T21:45:00Z,2026-06-18T07:26:51Z,Economy,Y,HK,Priority boarding; Carbon offset,App,SabreSonic
HYY5MV,ORD-FJWHRVHM,795-6963404324,VA7003151,Ruby Ferraro,VA642,TSV,CNS,2026-06-21T02:45:00Z,2026-06-21T08:05:35Z,Economy,Y,HK,Carbon offset,App,SabreSonic
W4DYA7,ORD-JN087272,795-7201296029,VA7003699,Liam Walsh,VA592,OOL,HKG,2026-07-04T16:45:00Z,2026-07-05T00:30:05Z,Economy,Y,HK,Lounge pass,App,SabreSonic
HTZC4P,ORD-3GRVC4SY,795-5668556448,VA7006576,Audrey Patel,VA1159,HBA,TSV,2026-06-19T20:05:00Z,2026-06-20T00:34:29Z,Economy,Y,HK,Checked bag 23kg,virginaustralia.com,SabreSonic
DYTLWU,ORD-UT8GJ2DT,795-4719780110,VA7002055,Zoe Wright,VA1608,CNS,APW,2026-07-05T00:05:00Z,2026-07-05T11:12:16Z,Economy,Y,HK,Priority boarding,Amadeus GDS,SabreSonic
8TZ57W,ORD-AF5YE1P3,795-4542693668,VA7002055,Zoe Wright,VA155,HND,DPS,2026-06-30T19:30:00Z,2026-07-01T04:48:49Z,Economy,Y,HK,Checked bag 23kg; Carbon offset,virginaustralia.com,SabreSonic
G5BHL4,ORD-5A3NJVLT,795-9990826771,VA7002466,George O'Brien,VA1562,TSV,LAX,2026-07-01T02:10:00Z,2026-07-01T15:22:22Z,Economy,Y,HK,Extra legroom,virginaustralia.com,SabreSonic
VA838R,ORD-838R0001,795-8380000001,VA8380001,George Sinclair,VA838,MEL,SYD,2026-06-15T09:45:00Z,2026-06-15T11:10:00Z,Economy,Y,HK,Seat selection,virginaustralia.com,SabreSonic
VA838S,ORD-838S0001,795-8380000002,VA8380002,George Sinclair,VA838,MEL,SYD,2026-06-15T09:45:00Z,2026-06-15T11:10:00Z,Economy,Y,HK,"Seat selection, Checked bag 23kg",virginaustralia.com,SabreSonic
VA838G,ORD-838G0001,795-8380000003,VA8380003,George Sinclair,VA838,MEL,SYD,2026-06-15T09:45:00Z,2026-06-15T11:10:00Z,Economy,Y,HK,"Lounge pass, Priority boarding",virginaustralia.com,SabreSonic
VA838P,ORD-838P0001,795-8380000004,VA8380004,George Sinclair,VA838,MEL,SYD,2026-06-15T09:45:00Z,2026-06-15T11:10:00Z,Business,J,HK,"Lounge pass, Priority boarding",virginaustralia.com,SabreSonic
